backache,Interoceptive,4.7
backbend,Visual,3.75
backboned,Interoceptive,2.235
backbreaker,Interoceptive,3.667
backbreaking,Interoceptive,3.647
backcountry,Visual,4.375
backcourt,Visual,4.067
backdoor,Visual,4.471
backdrop,Visual,4.579
backfire,Auditory,3.333
backfiring,Auditory,3.706
backflow,Visual,4.118
backhandedly,Auditory,2.438
backless,Visual,3.733
backlight,Visual,4.353
backlit,Visual,3.882
backpack,Visual,3.95
backrest,Haptic,3.316
backscratcher,Haptic,3.5
backseat,Visual,3.7
backslap,Haptic,4.059
backspin,Visual,3.706
backstab,Interoceptive,3.176
backstage,Visual,3.889
backstairs,Visual,4.059
backstretch,Interoceptive,2.792
backtalk,Auditory,4.714
backwash,Gustatory,1.611
backwoodsman,Visual,3.6
backyard,Visual,4.7
bacon,Gustatory,4.45
bacterial,Interoceptive,2.125
bacterium,Interoceptive,1.8
bad manners,Visual,3.6
bad temper,Auditory,3.412
badge,Visual,4.222
badlands,Visual,3.867
badly,Interoceptive,3
badmouth,Auditory,3.706
baffle,Auditory,3.357
baffling,Auditory,2.389
bag,Visual,4.441
bagel,Gustatory,4.733
baggie,Visual,4.158
baggy,Visual,3.706
bagpipe,Auditory,3.526
bagpiper,Auditory,4.667
bagpipes,Auditory,4.312
baguette,Gustatory,3.294
bailiff,Visual,4.4
bake,Olfactory,4.294
baked,Olfactory,4.059
bakery,Visual,4.588
bakeshop,Visual,3.722
baking,Olfactory,3.8
baking sheet,Visual,4
baking soda,Visual,3.789
baking tray,Visual,4.278
baklava,Gustatory,3.429
balance beam,Visual,3.895
balance sheet,Visual,4.211
balanced,Interoceptive,2.5
balancing,Visual,3.647
balcony,Visual,4.111
bald,Visual,4.176
baldhead,Visual,4.2
balding,Visual,3.882
baldish,Visual,4.333
baldness,Visual,4.444
bale,Visual,3.625
balk,Auditory,2.75
ball,Visual,3.824
ball game,Visual,4.8
ball park,Visual,4
ballad,Auditory,3.737
balled,Visual,4.357
ballerina,Visual,4.895
